19:25:03.689 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridDisplay
19:25:03.689 INFO   - DlgSettingsGridDisplay::DlgSettingsGridDisplay
19:25:03.689 INFO   - DlgSettingsGridDisplay::createSubPanel
19:25:03.689 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesX
19:25:03.689 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesY
19:25:03.690 INFO   - DlgSettingsGridDisplay::createDisplayCommon
19:25:03.690 INFO   - DlgSettingsGridDisplay::createPreview
19:25:03.694 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridRemoval
19:25:03.694 INFO   - DlgSettingsGridRemoval::DlgSettingsGridRemoval
19:25:03.694 INFO   - DlgSettingsGridRemoval::createSubPanel
19:25:03.694 INFO   - DlgSettingsGridRemoval::createRemoveGridLines
19:25:03.694 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesX
19:25:03.695 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesY
19:25:03.695 INFO   - DlgSettingsGridRemoval::createPreview
19:25:03.699 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsPointMatch
19:25:03.699 INFO   - DlgSettingsPointMatch::DlgSettingsPointMatch
19:25:03.699 INFO   - DlgSettingsPointMatch::createSubPanel
19:25:03.699 INFO   - DlgSettingsPointMatch::createControls
19:25:03.699 INFO   - DlgSettingsPointMatch::createPreview
19:25:03.699 INFO   - DlgSettingsPointMatch::createTemplate
19:25:03.703 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsSegments
19:25:03.703 INFO   - DlgSettingsSegments::DlgSettingsSegments
19:25:03.703 INFO   - DlgSettingsSegments::createSubPanel
19:25:03.703 INFO   - DlgSettingsSegments::createControls
19:25:03.704 INFO   - DlgSettingsSegments::createPreview
19:25:03.704 INFO   - DlgSettingsSegments::createPreviewImage
19:25:03.722 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGeneral
19:25:03.722 INFO   - DlgSettingsGeneral::DlgSettingsGeneral
19:25:03.722 INFO   - DlgSettingsGeneral::createSubPanel
19:25:03.722 INFO   - DlgSettingsGeneral::createControls
19:25:03.724 INFO   - DlgSettingsGeneral::createOptionalSaveDefault
19:25:03.724 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsMainWindow
19:25:03.724 INFO   - DlgSettingsMainWindow::DlgSettingsMainWindow
19:25:03.724 INFO   - DlgSettingsMainWindow::createSubPanel
19:25:03.724 INFO   - DlgSettingsMainWindow::createControls
19:25:03.736 INFO   - DlgSettingsMainWindow::createOptionalSaveDefault
19:25:03.736 INFO   - MainWindow::createCommandStackShadow
19:25:03.736 INFO   - CmdStackShadow::CmdStackShadow
19:25:03.736 INFO   - MainWindow::createZoomMaps
19:25:03.736 INFO   - MainWindow::updateControls selectedItems=0
19:25:03.736 INFO   - MainWindow::slotViewToolBarChecklistGuide
19:25:03.737 INFO   - MainWindow::slotCmbBackground
19:25:03.737 INFO   - BackgroundStateContext::setBackgroundImage background=Filtered
19:25:03.737 INFO   - BackgroundStateContext::requestStateTransition
19:25:03.737 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
19:25:03.737 INFO   - BackgroundStateUnloaded::end
